ID	Tipo	SKU	Nombre	Publicado	¿Es destacado?	Visibilidad en catálogo	Descripción corta	Descripción	Fecha de inicio de oferta	Fecha de fin de oferta	Status de Impuesto	Clase de impuesto	¿En existencia?	Disponibilidad	¿Permitir sobre pedidos?	¿Vender individualmente?	Peso (kg)	Largo (cm)	Ancho (cm)	Alto (cm)	¿Permitir opiniones de los clientes?	Nota de compra	Precio de oferta:	Precio regular:	Categorías	Etiquetas	Clase de Envío	Imágenes	Límite de descarga	Caducidad en días de descarga	Padre	Productos agrupados.	Productos-complementarios (Up-Sells)	Ventas Cruzadas	URL externa	Texto del botón	Posición
			Boliana																																		
			Boliariel																																		
			Boliariel Sirena																																		
			Boliaurora																																		
			Bolibellita																																		
			Bolibeast																																		
			Boliblanca Nieves																																		
			Bolicienta																																		
			Bolielena																																		
			Bolielsa																																		
			Bolirapunsel																																		
			Bolitinker Bell																																		
			Bolivaliente																																		
			Boliprincesa Sofia																																		
			Bolipool																																		
			Bolijoker																																		
			Boliharley Queen																																		
			Bolibatichica																																		
			Bolibatman																																		
			Boliflash																																		
			Boliwonder Woman																																		
			Bolisuperchica																																		
			Bolisuperman																																		
			Boliblck Spiderman																																		
			Bolispiderman																																		
			Bolithor																																		
			Bolicapitán América																																		
			Bolironman																																		
			Bolimiguel																																		
			Bolieverest																																		
			Bolikitty																																		
			Boliunicornio pastel																																		
			Boliunicornio arcoíris																																		
			Bolimasha																																		
			Bolioso																																		
			Bolimasha lentes																																		
			Bolitigger																																		
			Bolipooh																																		
			Bolipocoyo																																		
			Bolielly																																		
			Bolicookie Monster																																		
			Bolielmo																																		
			Bolimichey Bebé																																		
			Boliminnie Bebé																																		
			Boliminnie Rosa																																		
			Boliminnie Roja																																		
			Bolimickey Mouse																																		
			Bolijorge																																		
			Bolidoki																																		
			Bolijake																																		
			Boligallina Pintadita																																		
			Bolishopkins verde																																		
			Bolishopkins rosa																																		
			Bolichilindrina																																		
			Bolicleo																																		
			Bolichavo del ocho																																		
			Bolibailarina																																		
			Bolidra Juguetes																																		
			Bolilambie																																		
			Bolilady Bug																																		
			Bolishine																																		
			Bolishimmer																																		
			Bolipeppa Hada																																		
			Boligeorge Pig																																		
			Bolipeppa Pig																																		
			Bolisparkle																																		
			Bolirainbow Dash																																		
			Bolichamoy																																		
			Bolimerito morado																																		
			Bolimerito rosa																																		
			Boliazul																																		
			Bolichimuelo																																		
			Bolichase																																		
			Bolisky																																		
			Boliryder																																		
			Bolimarshall																																		
			Bolicat Boy																																		
			Boliuluette																																		
			Boligeko																																		
			Boliprincipito																																		
			Boligoku																																		
			Bolipokebola																																		
			Bolicharizard																																		
			Bolicharmander																																		
			Bolipikachu																																		
			Bolimoana																																		
			Bolicoco																																		
			Bolirafael																																		
			Bolionardo																																		
			Bolimiguel Ángel																																		
			Bolidonatello																																		
			Boliharry Potter																																		
			Boliminion																																		
			Boliagnes																																		
			Boliramón Feliz																																		
			Bolipoppy																																		
			Boliramón Gruñón																																		
			Bolisullivan																																		
			Boliboo																																		
			Bolimike 																																		
			Bolimia																																		
			Bolimabel																																		
			Bolistitch																																		
			Boli Mr Increíble																																		
			Boliclone																																		
			Bolidarth Vader																																		
			Boligatitosaurio																																		
			Bolimarciano																																		
			Bolilotso																																		
			Boliwoody																																		
			Bolijessy																																		
			Bolibuzz																																		
			Bolileón																																		
			Bolipanda																																		
			Bolipollo																																		
			Boliconejo																																		
			Bolielefante																																		
			Boligolden Freddy																																		
			Bolizombie																																		
			Bolifreddy																																		
			Bolioso Maloso																																		
			Bolisonic Boom																																		
			Bolimario Bros																																		
			Boliluigi Bros																																		
			Bolimexicana																																		
			Bolimariachi guitarra																																		
			Bolimariachi																																		
			Bolifrida																																		
			Bolimaría																																		
			Bolidiablo																																		
			Bolibrujita																																		
			Bolijack Skeleton																																		
			Bolijack Skeleton sonrisa																																		
			Bolicalavera bigote																																		
			Bolicalavera 																																		
			Bolivampiro																																		
			Bolijengibre																																		
			Bolijengibre gorro																																		
			Bolisanta Claus																																		
			Bolipingüino																																		
			Bolireno																																		
			Bolioso Polar																																		
			Bolimickey Navidad																																		
			Boliangelita																																		
			Boliangelito																																		
			Boliangelito azul																																		
			Bolidino																																		
			Boliplayer América																																		
			Boliplayer Chivas																																		
			Bolipayaso																																		
			Bolipirata																																		
